movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres
23527,First Squad: The Moment of Truth,2009-05-13,0,0,73,6.246,140,37.5965,"['Fantasy', 'Animation', 'Action', 'Science Fiction']"
24188,Il Sorpasso,1962-12-05,0,0,105,8.223,817,4.3165,"['Drama', 'Comedy', 'Adventure']"
24238,Mary and Max,2009-04-09,8240000,1740429,92,7.881,2159,3.7173,"['Animation', 'Comedy', 'Drama']"
24382,Big Deal on Madonna Street,1958-07-26,0,0,106,8.09,757,2.3384,"['Comedy', 'Crime']"
24428,The Avengers,2012-04-25,220000000,1518815515,143,7.89,34753,53.7834,"['Science Fiction', 'Action', 'Adventure']"
25237,Come and See,1985-10-17,0,20929648,142,8.2,1718,6.6115,"['Drama', 'War']"
25364,Ace in the Hole,1951-06-29,1821052,1300000,111,7.855,716,1.6448,['Drama']
25376,The Secret in Their Eyes,2009-08-13,2000000,33965843,130,7.972,2746,3.4212,"['Mystery', 'Thriller', 'Drama']"
25538,Yi Yi,2000-09-20,0,1528767,174,7.9,627,6.4621,['Drama']
26022,My Name Is Khan,2010-02-10,12000000,42345360,165,8.029,1395,2.6541,"['Drama', 'Romance']"
26451,Investigation of a Citizen Above Suspicion,1970-10-16,0,0,111,8.2,848,1.3387,"['Drama', 'Thriller']"
27205,Inception,2010-07-15,160000000,839030630,148,8.371,38417,29.1606,"['Action', 'Science Fiction', 'Adventure']"
28178,Hachi: A Dog's Tale,2009-06-08,16000000,46800000,93,8.01,7011,12.4452,"['Drama', 'Family']"
28422,Love Exposure,2009-01-31,0,0,237,7.9,496,3.0619,"['Action', 'Comedy', 'Drama', 'Romance']"
28971,Limelight,1952-10-16,900000,1000000,137,7.908,572,2.9409,"['Romance', 'Drama', 'Music']"
28978,The Circus,1928-01-06,9000000,0,72,7.935,865,5.4207,"['Comedy', 'Romance', 'Drama']"
29259,Le Trou,1960-03-18,0,33187,132,8.239,537,2.7004,"['Drama', 'Thriller', 'Crime']"
29264,The Exterminating Angel,1962-05-16,0,0,93,7.932,707,1.323,"['Comedy', 'Drama', 'Fantasy']"
29455,Winter Light,1963-02-11,0,0,80,7.891,485,4.7209,['Drama']
30017,Close-Up,1990-02-01,0,0,98,7.952,431,1.8135,"['Crime', 'Drama']"
31439,To Live,1994-05-18,0,0,133,8.1,352,2.4865,"['Drama', 'Romance', 'War']"
36557,Casino Royale,2006-11-14,150000000,599045960,144,7.566,11333,14.6394,"['Adventure', 'Action', 'Thriller']"
37165,The Truman Show,1998-06-04,60000000,264118712,103,8.1,19587,12.8061,"['Comedy', 'Drama']"
37257,Witness for the Prosecution,1957-12-17,3000000,9000000,116,8.214,1590,3.3641,"['Drama', 'Mystery', 'Crime']"
37797,Whisper of the Heart,1995-07-15,0,0,111,7.948,2184,4.3945,"['Animation', 'Drama', 'Family']"
38286,Three Men and a Leg,1997-12-27,0,0,98,7.964,2131,1.0713,['Comedy']
38288,"“The Shorts” by Aldo, Giovanni and Giacomo",1996-03-29,0,0,130,8.099,357,0.2993,['Comedy']
38360,The Cranes Are Flying,1957-10-12,0,0,97,7.9,430,1.927,"['Drama', 'Romance', 'War']"
38757,Tangled,2010-11-24,260000000,592461732,100,7.61,12069,17.6191,"['Animation', 'Family', 'Adventure']"
40096,A Dog's Will,2000-09-15,0,4903192,104,8.4,1193,1.7527,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
41050,La Notte,1961-01-24,0,0,122,7.9,718,2.1418,"['Drama', 'Romance']"
42229,A Special Day,1977-08-11,0,0,106,8.038,733,1.225,"['Drama', 'Romance']"
42269,We All Loved Each Other So Much,1974-12-21,0,0,125,8.285,628,1.0165,"['Drama', 'Comedy']"
42337,Beau Pere,1981-09-15,0,0,123,6.5,134,14.1646,"['Drama', 'Romance']"
43949,Flipped,2010-08-06,14000000,4324817,89,8.004,3234,6.221,"['Romance', 'Drama']"
46738,Incendies,2010-09-17,6800000,6788659,131,8.107,3103,12.3242,"['Drama', 'War', 'Mystery']"
47796,Mamma Roma,1962-09-22,0,0,110,7.876,427,0.9273,['Drama']
48035,Ordet,1955-01-09,0,0,125,7.945,397,2.0926,['Drama']
48591,The Oyster Princess,1919-06-26,0,0,58,6.8,62,20.388,['Comedy']
49013,Cars 2,2011-06-11,200000000,559852396,106,6.2,8266,14.076,"['Animation', 'Family', 'Adventure', 'Comedy']"
49964,Where Is The Friend's House?,1987-07-01,0,0,83,7.902,414,2.2279,"['Drama', 'Family', 'Adventure']"
50014,The Help,2011-08-09,25000000,216600000,146,8.205,8793,9.5185,['Drama']
50759,An Autumn Afternoon,1962-11-18,0,0,113,7.855,311,1.5871,['Drama']
51482,Death Note Relight 1: Visions of a God,2009-09-23,0,0,131,7.909,373,7.3487,"['TV Movie', 'Crime', 'Drama', 'Fantasy', 'Thriller', 'Animation']"
51822,Love Hurts,2002-11-08,10000000,0,104,7.98,349,1.8861,"['Drama', 'Romance']"
52629,El Infierno,2010-09-03,0,6703873,148,7.883,736,4.6646,"['Action', 'Crime', 'Western', 'Comedy', 'Drama']"
55823,The Great War,1959-10-28,0,0,137,8.1,363,0.6324,"['Comedy', 'War', 'Drama']"
55960,"Toto, Peppino, and the Hussy",1956-08-23,0,0,101,8.005,365,0.9823,"['Comedy', 'Romance']"
60243,A Separation,2011-02-15,5000000,24426169,123,7.9,1893,2.9253,['Drama']
62838,New Year's Eve,2011-12-08,56000000,142044638,118,5.883,2197,15.972,"['Comedy', 'Romance']"
66245,Arunachalam,1997-04-10,0,0,165,7.3,28,17.4128,"['Action', 'Drama', 'Comedy']"
68718,Django Unchained,2012-12-25,100000000,425368238,165,8.185,27370,26.0253,"['Drama', 'Western']"
68721,Iron Man 3,2013-04-18,200000000,1215577205,130,6.931,23009,14.9993,"['Action', 'Adventure', 'Science Fiction']"
72882,Operation: Daybreak,1975-11-01,0,0,118,6.9,47,47.6623,"['Action', 'War']"
75656,Now You See Me,2013-05-29,75000000,351723989,116,7.335,16337,19.1824,"['Thriller', 'Crime']"
76203,12 Years a Slave,2013-10-18,20000000,187000000,134,7.935,11726,5.4846,"['Drama', 'History']"
76341,Mad Max: Fury Road,2015-05-13,150000000,378858340,121,7.629,23608,13.784,"['Action', 'Adventure', 'Science Fiction']"
76600,Avatar: The Way of Water,2022-12-14,350000000,2353096253,192,7.605,13353,121.1097,"['Action', 'Adventure', 'Science Fiction']"
77338,The Intouchables,2011-11-02,13000000,426590315,113,8.271,18024,13.7944,"['Drama', 'Comedy']"
81188,Rise of the Guardians,2012-11-21,145000000,306941670,97,7.37,6998,24.4267,"['Animation', 'Family', 'Fantasy', 'Action', 'Adventure']"
81481,Silenced,2011-09-22,2200000,31500000,125,8.15,730,3.2784,['Drama']
83533,Avatar: Fire and Ash,2025-12-17,350000000,851695254,198,7.4,943,490.3056,"['Science Fiction', 'Adventure', 'Fantasy']"
87101,Terminator Genisys,2015-06-23,155000000,440603537,126,5.9,8770,13.9121,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
91314,Transformers: Age of Extinction,2014-06-25,210000000,1104054072,165,5.956,8552,21.8115,"['Science Fiction', 'Action', 'Adventure']"
92060,Michael Jackson's Thriller,1983-11-14,500000,0,14,8.221,730,2.6576,"['Horror', 'Thriller', 'Music']"
92321,Hotarubi no Mori e,2011-09-17,0,0,45,8.267,1187,0.0039,"['Romance', 'Animation', 'Fantasy']"
94047,My Way,2011-12-21,25500000,16653488,137,7.893,426,2.0781,"['Drama', 'Action', 'History', 'War']"
99069,Pound,1970-08-08,0,0,92,3.8,5,34.6728,['Comedy']
99861,Avengers: Age of Ultron,2015-04-22,235000000,1405403694,141,7.3,23957,16.0406,"['Action', 'Adventure', 'Science Fiction']"
102382,The Amazing Spider-Man 2,2014-04-16,200000000,708962323,141,6.524,13891,18.2913,"['Action', 'Adventure', 'Science Fiction']"
103663,The Hunt,2012-06-13,3800000,18300000,116,8.1,4558,6.5219,['Drama']
106646,The Wolf of Wall Street,2013-12-25,100000000,407038432,180,8.025,25307,18.9061,"['Crime', 'Drama', 'Comedy']"
109445,Frozen,2013-11-20,150000000,1274219009,102,7.249,17236,20.0031,"['Animation', 'Family', 'Adventure', 'Fantasy']"
110416,Song of the Sea,2014-06-23,0,857522,94,8.001,1524,4.1684,"['Family', 'Animation', 'Fantasy']"
110420,Wolf Children,2012-07-21,0,55262158,117,8.217,2405,4.0407,"['Animation', 'Family', 'Drama', 'Fantasy']"
116785,Semi-Soet,2012-02-17,0,0,107,5.1,11,19.0339,['Romance']
118340,Guardians of the Galaxy,2014-07-30,170000000,772776600,121,7.9,29137,7.6535,"['Action', 'Science Fiction', 'Adventure']"
120467,The Grand Budapest Hotel,2014-02-26,30000000,174600318,100,8.033,15607,9.3177,"['Comedy', 'Drama']"
122906,About Time,2013-09-04,12000000,87100449,123,7.909,8998,11.0645,"['Drama', 'Romance', 'Fantasy']"
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,144,7.331,14979,27.0395,"['Action', 'Adventure', 'Fantasy']"
133919,Scenes from a Marriage,1974-09-15,150000,0,169,8.052,391,1.6689,"['Drama', 'Romance']"
140420,Paperman,2012-11-02,0,0,7,7.997,1763,2.8256,"['Animation', 'Family', 'Romance']"
142061,"Batman: The Dark Knight Returns, Part 2",2013-01-03,3500000,0,78,7.922,1561,1.9864,"['Science Fiction', 'Action', 'Animation', 'Mystery', 'Crime', 'Drama']"
145018,Christmas Miracle,2012-10-12,4000000,0,92,5.8,19,14.1892,['Family']
146233,Prisoners,2013-09-19,46000000,122126687,153,8.101,12635,10.4925,"['Drama', 'Thriller', 'Crime']"
149871,The Tale of The Princess Kaguya,2013-11-23,49300000,24366656,137,8.09,1916,3.6627,"['Animation', 'Drama', 'Fantasy']"
150540,Inside Out,2015-06-17,175000000,857611174,95,7.91,23019,16.7047,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']"
150689,Cinderella,2015-03-06,95000000,543514353,105,6.8,7284,16.0242,"['Romance', 'Fantasy', 'Family', 'Drama']"
152532,Dallas Buyers Club,2013-11-01,5000000,55736588,117,7.918,8845,4.2801,"['Drama', 'History']"
152760,The Monuments Men,2014-01-24,70000000,154984035,118,6.064,3733,12.731,"['War', 'Drama', 'History', 'Action']"
157336,Interstellar,2014-11-05,165000000,746606706,169,8.465,38485,40.6206,"['Adventure', 'Drama', 'Science Fiction']"
158445,Miracle in Cell No. 7,2013-01-23,0,80300000,127,7.877,477,4.6701,"['Drama', 'Comedy']"
159824,Hotel Transylvania 2,2015-09-21,80000000,473200000,89,6.8,5997,13.2294,"['Animation', 'Comedy', 'Family', 'Fantasy']"
160885,Tel chi el telùn,1999-05-12,0,0,120,7.925,333,0.4458,['Comedy']
166428,How to Train Your Dragon: The Hidden World,2019-01-03,129000000,539987993,104,7.75,6893,14.0905,"['Animation', 'Family', 'Adventure']"
177572,Big Hero 6,2014-10-24,165000000,657870525,102,7.726,16240,14.1644,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
180147,We Are the Nobles,2013-03-28,2000000,26433651,108,7.923,525,2.413,['Comedy']
183011,Justice League: The Flashpoint Paradox,2013-07-30,3500000,0,81,7.9,1930,2.0469,"['Animation', 'Science Fiction', 'Adventure', 'Action', 'Fantasy']"
198663,The Maze Runner,2014-09-10,34000000,348319861,113,7.2,17756,19.3315,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
203101,High School of the Dead: Drifters of the Dead,2011-04-25,0,0,18,7.4,474,20.0937,"['Comedy', 'Animation', 'Adventure', 'Horror']"
205596,The Imitation Game,2014-11-14,14000000,233555708,113,7.989,17710,11.6338,"['History', 'Drama', 'Thriller', 'War']"
210577,Gone Girl,2014-10-01,61000000,370890259,149,7.889,19501,13.8625,"['Mystery', 'Thriller', 'Drama']"
216015,Fifty Shades of Grey,2015-02-11,40000000,569651467,125,5.877,12198,14.4531,"['Drama', 'Romance', 'Thriller']"
216527,Avatar 4,2029-12-19,500000000,0,0,0.0,0,14.2403,"['Science Fiction', 'Adventure', 'Fantasy']"
228150,Fury,2014-10-15,68000000,211817906,135,7.541,12625,15.7771,"['War', 'Drama', 'Action']"
237791,The Way He Looks,2014-04-10,0,1207841,96,7.945,968,1.2301,"['Drama', 'Romance']"
242828,When Marnie Was There,2014-07-19,0,34949567,103,7.934,1900,3.5155,"['Animation', 'Drama', 'Family', 'Mystery']"
244786,Whiplash,2014-10-10,3300000,50307484,107,8.4,16153,15.4014,"['Drama', 'Music']"
244998,Senario XX,2005-05-19,0,0,93,0.0,0,14.897,"['Comedy', 'Adventure', 'Action']"
250754,Woman Temptation,1982-01-01,0,0,80,5.4,5,14.499,['Drama']
255709,Hope,2013-10-02,0,0,122,8.397,813,3.2215,['Drama']
