movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
953,Madagascar,2005-05-25,75000000,542064525,86,6.917,11412,14.1376,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
961,The General,1926-12-25,750000,1000000,79,7.9,1358,2.6331,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
962,The Gold Rush,1925-07-13,923000,4000000,95,7.981,1758,3.0087,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
975,Paths of Glory,1957-10-25,935000,1200000,88,8.26,3155,5.739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
996,Double Indemnity,1944-07-06,927262,2500000,107,8.107,1951,2.6614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1091,The Thing,1982-06-25,15000000,19629760,109,8.07,7607,10.1643,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1124,The Prestige,2006-10-17,40000000,109676311,130,8.2,17059,12.1185,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1162,The Miracle Worker,1962-05-23,500000,2500000,106,7.889,328,1.4323,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1396,Mirror,1975-03-07,825000,124367,107,7.9,1045,3.7568,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1402,The Pursuit of Happyness,2006-12-14,55000000,307077295,117,7.887,10339,10.1593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1422,The Departed,2006-10-04,90000000,291465000,151,8.159,15735,10.5087,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1578,Raging Bull,1980-11-14,18000000,23380203,129,7.9,4594,4.0445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1580,Rope,1948-09-25,1500000,2200000,81,7.94,2908,4.1194,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1581,The Holiday,2006-12-05,85000000,205233866,136,7.094,5476,16.9981,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1585,It's a Wonderful Life,1946-12-20,3180000,9644124,130,8.3,4705,22.0851,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
